This Boy;Female Pop;04:44
The Birds and the Bees;Male Pop;02:04
Irish Jig;Instrumental;03:20
Jazz 3;Jazz;03:02
Slow It Down;Male;03:36
Jacobs Ladder;Group;04:28
Its My Party;Group Pop;02:16
Mardi Gras;Male Pop;02:42
Charlie Chulo;Jazz;03:02
Popoja;Female;02:29
Los Cabos;Jazz;04:17
Green Berets;Male Pop;02:30
One O'Clock Jump;Jazz;03:04
The Sunset Waltz;Male;02:48
Aint That A Shame;Male Pop;02:19
I Like it;Reggae;03:51
2000 Miles;Female;03:39
Kaya;Reggae;02:31
Pretty Woman;Group Pop;02:56
Rock Around The Clock;Group Pop;02:12
Jazz 9;Jazz;03:00
Angie Baby;Female;03:29
I Got You Babe;Group;03:13
Jazz 6;Jazz;03:20
Elusive Butterfly;Male;02:46
Three Words;Jazz;02:53
Shoeshine Boy;Jazz;03:04
Catch Me If You Can;Instrumental;03:22
Ceili Moss;Instrumental;04:55
Jazz 14;Jazz;03:14
Have You Ever Seen;Male Pop;01:41
Them There Eyes;Jazz;03:02
Nolleigh Casey's Jig;Instrumental;03:38
Little Arrows;Male;02:23
Je ne Sais Pas Pourquoi;Female Pop;04:05
I Know My Love;Group Pop;03:28
Summer in Suburbia;Female;03:29
Beg Steal or Borrow;Pop;02:41
Tune The Speed;Instrumental;04:44
Goema;Group Pop;03:18
Esprit de Famille;Instrumental;04:23
Nine To Five;Female Pop;02:45
Non Je ne Regrette Rien;Female Vocalist;02:51
Waterloo;Group Pop;02:34
Grace Kelly;Male Pop;03:07
Beatles;Classics Pop;06:16
Indians and Aliens;Male;04:28
Lord  of the Dance Otaba;Instrumental;04:48
Some Day One Day;Group;02:39
Star of the County Down;Group;02:05
O Ma Soeur;Female;03:19
Memphis;Reggae;02:58
African Herbman;Reggae;02:18
Jazz 1;Jazz;02:36
God Rest Ye Merry, Gentlemen;Female;03:27
Milord;Female Vocalist;04:54
Firefighter;Male;03:48
Viens Sur La Montagne;Female Pop;02:25
Golden Days;Male Pop;04:31
Wimoweh;Group;02:40
Souvenir;Instrumental Pop;03:29
Cradled In Your Arms;Male;04:09
Down in the Boondocks;Group Pop;02:37
Do It Twice;Reggae;02:42
Daddy Cool;Group Pop;03:30
Walls of Redwing;Female;03:53
Sally Ann;Group;02:05
Invisible Touch;Male Pop;03:28
Foggy Mountain;Group;04:43
400 Years;Reggae;02:24
Bang Bang;Female Vocalist;02:08
Rivers of Babylon;Group Pop;03:11
Tesla Girls;Instrumental Pop;03:33
Jazz 7;Jazz;03:02
Rocky Road To Dublin;Group;04:57
Got To Be Certain;Female Pop;03:19
Reelroad 11;Group;04:12
Do The Walls Come Down;Female Pop;05:08
Them Belly Full;Reggae;04:05
Save The Last Dance;Group Pop;02:13
Proud Mary;Male Pop;03:05
Give Me All Night;Female Pop;04:24
Band on the Run;Male Pop;05:12
Lemon Tree;Male;02:47
The Brazilian;Male Pop;04:46
Swing From Paris;Jazz;02:32
Domino;Male Pop;04:12
World of Our Own;Group Pop;02:48
Lonesome Me;Mixed;02:28
Sing Our Own Song;Reggae;07:08
What's New Pussycat?;Male Pop;02:13
Brother;Instrumental;05:10
All I Want To Do;Reggae;04:47
Dancers;Jazz;02:52
Red Rubber Ball;Group Pop;02:22
Fussin' and Fightin';Reggae;02:26
Rollin';Instrumental;04:22
Raised on Rock;Female Pop;03:13
The Bee;Instrumental;02:52
All In One;Reggae;03:26
C-Jam Blues;Jazz;02:55
Dancing With The Dinosaur;Male;04:50
New Day;Male Pop;03:46
Crazy Love;Female Pop;03:20
Georgia Brown;Jazz;03:14
Sugar Sugar;Group Pop;02:52
Joan of Arc;Instrumental Pop;03:49
Groetenis Aan Mannetjies Roux;Female;03:06
Why Don't You Write Me?;Group Pop;02:48
Barefootin';Male;02:34
Swimming Song;Male;02:24
Honeysuckle Rose;Jazz;03:40
Old Man Tucker;Male Pop;02:27
Circles;Group;03:36
Hot Asphalt;Group;02:05
Billets Doux;Jazz;03:25
Slow Rain;Male Pop;03:33
Emotion;Female Pop;02:55
CTPela Reelroad;Male;04:10
Froggy Went A-Courtin';Group;04:36
Send The Cavalry;Mixed;02:54
Coming Around Again;Female Pop;03:41
Mamunia;Pop;04:50
Galway Girl;Mixed Pop;02:57
Stompin' at Decca;Jazz;02:37
Tell It Like It Is;Reggae;03:25
I Know A Place;Female Vocalist;02:49
Umfazi Umdala;Group;03:14
At The Hop;Group Pop;02:35
Ring of Fire;Male Pop;02:34
O Sinner Man;Group;02:19
Happy New Year;Mixed;04:22
The Monster From The Bog;Group Pop;03:25
In The Mood;Jazz;03:00
Toi Mon Amour Mon Ami;Female Pop;02:07
Souls Almighty;Reggae;02:27
Yakkety Yak;Group Pop;01:43
Pata Pata;Female;03:04
Prep Set;Instrumental;04:20
The Crossing;Group Pop;05:00
The More I Learn;Female;03:35
Reaction;Reggae;02:39
Play Me;Male Pop;03:49
Hooked on ex;Classics Pop;05:27
Don't Be That Way;Jazz;06:29
Can't Keep It In;Male;03:02
Close the Door;Group Pop;02:48
Unknown Russo;Female;03:47
Dancing Queen;Group Pop;03:54
Crackling Rosie;Male Pop;02:59
Angus;Instrumental;04:49
Moero Reelroad;Instrumental;03:46
Movin On;Group Pop;02:09
love Notes;Jazz;04:18
Last Christmas;Mixed Pop;03:30
Hats Off To Larry;Male Pop;02:59
Jazz 4;Jazz;01:47
Kilimanjaro;Female;01:45
As Time Goes By;Female Pop;04:03
Rat In Mi Kitchen;Reggae;06:52
Love Love Love;Group;03:18
Johnny Come Lately;Jazz;02:58
Down on the Corner;Male Pop;02:42
No No No;Male Pop;02:59
Me and You and A Dog;Male Pop;03:02
Love My Dog;Male Pop;02:19
Cotton-Eyed Joe;Group;02:43
Harlem Congo;Jazz;02:54
La Sanconette;Instrumental;03:54
African Sky Blue;Group;03:51
Keep on Singing;Female Pop;03:04
No Woman No Cry;Reggae;03:52
John Henry;Mixed Pop;05:03
Streets of the City;Male;03:40
Photograph;Group Pop;03:25
Da Doo Run Run Run;Group Pop;02:27
Clothed Woman;Jazz;03:05
BetopHNue;Instrumental;04:19
Bruton Town;Female;04:08
Kentucky Woman;Male Pop;02:39
Wooly Bully;Group Pop;02:25
Marie Colere;Female Pop;02:51
Northern Lights;Jazz;04:34
Electricity;Instrumental Pop;03:26
Peaceful Revolution;Male;03:23
Ship of Fools;Group;03:19
Get Up Stand Up;Reggae;04:00
In Dust We Trust;Male;02:54
Be Bop Hop;Group Pop;04:34
Stop The Train;Reggae;02:27
Happy Days of Youth;Instrumental;03:10
Runaway;Group Pop;02:34
An Old-Fashioned Girl;Female;02:59
Delta Dawn;Female Pop;03:13
Raggle Taggle Gypsy;Group;03:12
December African Rain;Group;04:05
Galicia;Instrumental;04:23
Jazz 8;Jazz;03:10
No Words;Pop;02:29
Jet;Male Pop;04:06
Don't Sleep In The Subway;Female Pop;02:56
Nut Rocker;Instrumental;02:02
Bloubergse Strand;Female Vocalist;04:29
Night Time Out Here;Female Pop;02:13
I Should Be so Lucky;Female Pop;03:26
Caravan;Jazz;02:55
Clowns;Group Pop;03:29
Dancing in the Street;Female Vocalist;02:30
Locomotion;Instrumental Pop;03:57
Bad Moon Rising;Male Pop;02:23
Walk Tall;Male Pop;02:33
You Won't Find Another Fool;Group Pop;03:04
Sweet Caroline;Male Pop;03:16
Backstabbers;Jazz;00:45
Les Vendanges de l'Amour;Female Pop;02:33
The Script;Female;04:26
Hello Girl;Male Pop;03:06
Never Ending Love;Pop;03:02
Changing Your Demeanour;Group;03:17
Lookin out My Back Door;Male Pop;02:33
Who'll Stop the Rain;Male Pop;02:23
Fifth Track Otaba;Instrumental;03:40
Daphne;Jazz;05:03
Wild Thing;Group Pop;02:42
Anything She Does;Male Pop;05:00
Trench Town Rock;Reggae;02:47
Don't Let Your Deal Go Down;Group;03:36
Otaba e Joy;Instrumental;02:49
Song Sung Blue;Male Pop;03:13
White Vapour Trail;Male;02:51
So Much Trouble In The World;Reggae;03:56
Delaney's Donkey;Male;02:48
Blue Dew Jig;Instrumental;01:55
Pay Me My Money Down;Male;04:29
Crying ithout Emotion;Male Pop;03:33
Mon Amour, Mon Ami;Female Pop;02:10
Jazz 5;Jazz;03:18
Throwing it Away;Male Pop;03:41
Johnny Nobody;Male Pop;03:26
Heroes;Female Pop;03:58
Hope of Deliverance;Group Pop;03:25
Don't Let Me Be Misunderstood;Male Pop;02:23
We're Moving On;Group;02:13
Si J'Gagnais La Lotterie;Female;02:25
Here Comes My Baby;Male Pop;02:55
Damsel;Group Pop;05:16
Tom;Female;02:09
